Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Boostio,Evil Geniuses,astra,28,1.21,228.0,1.21,79%,152.8,0.82,0.32,0.04,0.18,18%,33%,1/3,23,23,19,9,1,5
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Boostio,Evil Geniuses,killjoy,44,1.04,202.0,1.03,80%,139.7,0.7,0.18,0.16,0.02,35%,25%,1/4,18,31,30,8,7,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Boostio,Evil Geniuses,"killjoy, astra",72,1.1,210.7,1.1,79%,144.8,0.75,0.24,0.11,0.08,27%,29%,2/7,23,54,49,17,8,6
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,jawgemo,Evil Geniuses,astra,24,1.0,184.0,0.94,75%,123.3,0.63,0.29,0.08,0.04,30%,,0/2,15,15,16,7,2,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,jawgemo,Evil Geniuses,omen,20,0.88,178.0,0.93,75%,114.6,0.65,0.3,0.05,0.1,43%,,,13,13,14,6,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,jawgemo,Evil Geniuses,raze,28,0.95,194.0,0.81,75%,140.9,0.61,0.32,0.18,0.11,18%,,,17,17,21,9,5,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,jawgemo,Evil Geniuses,"raze, astra, omen",72,0.94,185.3,0.88,75%,127.7,0.63,0.31,0.11,0.08,27%,,0/2,17,45,51,22,8,6
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ethan,Evil Geniuses,breach,24,0.82,153.0,0.72,67%,93.0,0.54,0.25,0.04,0.21,21%,,0/2,13,13,18,6,1,5
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ethan,Evil Geniuses,kayo,20,0.87,143.0,0.77,65%,90.6,0.5,0.55,0.1,0.05,34%,,0/1,10,10,13,11,2,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ethan,Evil Geniuses,skye,28,1.17,220.0,1.05,79%,142.6,0.71,0.54,0.07,0.11,27%,,0/6,20,20,19,15,2,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ethan,Evil Geniuses,"skye, breach, kayo",72,0.95,172.0,0.86,71%,111.6,0.6,0.44,0.07,0.13,27%,,0/9,20,43,50,32,5,9
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Demon1,Evil Geniuses,jett,72,1.31,280.0,1.66,72%,171.6,1.01,0.11,0.13,0.13,44%,13%,1/8,28,73,44,8,9,9
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,C0M,Evil Geniuses,sova,44,1.12,191.0,1.17,75%,126.5,0.61,0.3,0.07,0.05,20%,,0/5,19,27,23,13,3,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,C0M,Evil Geniuses,viper,28,0.83,168.0,0.79,68%,112.7,0.54,0.32,0.11,0.14,21%,,0/2,15,15,19,9,3,4
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,C0M,Evil Geniuses,"viper, sova",72,1.02,183.3,1.0,72%,121.2,0.58,0.31,0.08,0.08,20%,,0/7,19,42,42,22,6,6
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,s0m,NRG Esports,astra,52,1.05,193.5,1.14,77%,122.6,0.79,0.29,0.06,0.06,32%,13%,1/8,22,41,36,15,3,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,s0m,NRG Esports,omen,20,1.03,191.0,0.93,90%,100.8,0.65,0.7,0.0,0.1,26%,,,13,13,14,14,0,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,s0m,NRG Esports,"astra, omen",72,1.04,192.7,1.08,81%,116.6,0.75,0.4,0.04,0.07,30%,13%,1/8,22,54,50,29,3,5
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,FiNESSE,NRG Esports,breach,24,0.61,127.0,0.47,67%,82.9,0.38,0.5,0.04,0.13,20%,,0/2,9,9,19,12,1,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,FiNESSE,NRG Esports,killjoy,20,0.88,192.0,0.87,55%,116.6,0.65,0.2,0.05,0.1,7%,25%,1/4,13,13,15,4,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,FiNESSE,NRG Esports,viper,28,0.78,202.0,0.73,71%,145.8,0.57,0.25,0.11,0.07,15%,,0/4,16,16,22,7,3,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,FiNESSE,NRG Esports,"viper, killjoy, breach",72,0.76,173.7,0.68,65%,116.7,0.53,0.32,0.07,0.1,13%,10%,1/10,16,38,56,23,5,7
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,ardiis,NRG Esports,jett,72,0.99,205.7,1.0,74%,136.8,0.74,0.19,0.22,0.19,23%,60%,3/5,27,53,53,14,16,14
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Victor,NRG Esports,kayo,20,0.58,93.0,0.24,65%,57.1,0.2,0.65,0.1,0.15,6%,33%,1/3,4,4,17,13,2,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Victor,NRG Esports,killjoy,24,1.51,308.0,2.0,83%,197.3,1.17,0.13,0.25,0.04,29%,,0/1,28,28,14,3,6,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Victor,NRG Esports,raze,28,0.44,116.0,0.42,54%,90.0,0.36,0.14,0.11,0.14,13%,,0/1,10,10,24,4,3,4
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Victor,NRG Esports,"raze, killjoy, kayo",72,0.84,172.3,0.76,67%,116.6,0.58,0.28,0.15,0.11,19%,20%,1/5,28,42,55,20,11,8
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,crashies,NRG Esports,skye,28,1.14,204.0,1.17,82%,131.9,0.75,0.39,0.0,0.0,38%,20%,1/5,21,21,18,11,0,0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,crashies,NRG Esports,sova,44,1.11,197.5,1.08,82%,136.0,0.64,0.43,0.02,0.05,27%,13%,1/8,14,28,26,19,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,crashies,NRG Esports,"skye, sova",72,1.12,199.7,1.11,82%,134.4,0.68,0.42,0.01,0.03,31%,15%,2/13,21,49,44,30,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mazin,FURIA,harbor,38,0.9,194.0,1.04,71%,119.3,0.74,0.16,0.08,0.16,31%,33%,1/3,28,28,27,6,3,6
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mazin,FURIA,kayo,18,1.22,177.0,1.63,72%,99.1,0.72,0.33,0.11,0.17,19%,,0/1,13,13,8,6,2,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mazin,FURIA,skye,19,1.04,160.0,1.0,84%,92.9,0.53,0.63,0.05,0.11,46%,,0/1,10,10,10,12,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mazin,FURIA,"harbor, skye, kayo",75,1.05,177.0,1.13,75%,107.7,0.68,0.32,0.08,0.15,30%,20%,1/5,28,51,45,24,6,11
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,dgzin,FURIA,jett,75,1.13,232.0,1.16,76%,139.0,0.85,0.08,0.24,0.16,33%,13%,1/8,30,64,55,6,18,12
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Khalil,FURIA,killjoy,38,1.32,246.0,1.5,84%,176.0,0.87,0.21,0.03,0.08,26%,33%,4/12,33,33,22,8,1,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Khalil,FURIA,omen,18,1.13,177.0,1.33,89%,104.1,0.67,0.33,0.0,0.0,27%,,0/2,12,12,9,6,0,0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Khalil,FURIA,"killjoy, omen",75,1.16,202.7,1.35,87%,144.3,0.77,0.35,0.03,0.08,28%,29%,4/14,33,58,43,26,2,6
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Quick,FURIA,killjoy,18,1.05,191.0,1.08,72%,129.8,0.72,0.0,0.11,0.06,24%,,,13,13,12,0,2,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Quick,FURIA,viper,57,1.02,187.5,0.92,65%,137.2,0.61,0.3,0.02,0.11,29%,17%,1/6,22,35,38,17,1,6
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Quick,FURIA,"killjoy, viper",75,1.03,188.7,0.96,67%,135.4,0.64,0.23,0.04,0.09,27%,17%,1/6,22,48,50,17,3,7
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mwzera,FURIA,raze,19,1.32,323.0,1.5,84%,211.7,1.11,0.37,0.26,0.05,16%,,,21,21,14,7,5,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mwzera,FURIA,skye,38,0.94,206.0,0.83,76%,145.2,0.63,0.58,0.0,0.11,21%,,0/2,24,24,29,22,0,4
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mwzera,FURIA,sova,18,1.42,177.0,2.0,83%,134.3,0.67,0.39,0.0,0.0,41%,100%,2/2,12,12,6,7,0,0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,mwzera,FURIA,"skye, raze, sova",75,1.23,235.3,1.16,80%,159.4,0.76,0.48,0.07,0.07,22%,50%,2/4,24,57,49,36,5,5
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Mazino,Leviatán,harbor,57,0.8,149.0,0.65,70%,95.5,0.49,0.28,0.07,0.05,21%,14%,1/7,17,28,43,16,4,3
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Mazino,Leviatán,omen,18,0.65,123.0,0.5,61%,78.4,0.39,0.28,0.06,0.06,16%,,0/2,7,7,14,5,1,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Mazino,Leviatán,"harbor, omen",75,0.75,140.3,0.61,68%,91.4,0.47,0.28,0.07,0.05,20%,11%,1/9,17,35,57,21,5,4
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Tacolilla,Leviatán,jett,56,0.85,200.5,1.0,64%,132.1,0.77,0.18,0.21,0.14,15%,20%,1/5,34,43,43,10,12,8
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,kiNgg,Leviatán,kayo,18,1.2,248.0,1.15,83%,169.8,0.83,0.28,0.17,0.11,37%,,0/5,15,15,13,5,3,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,kiNgg,Leviatán,viper,57,1.19,229.0,1.3,82%,150.3,0.84,0.35,0.09,0.09,29%,14%,1/7,35,48,37,20,5,5
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,kiNgg,Leviatán,"viper, kayo",75,1.19,235.3,1.26,83%,155.0,0.84,0.33,0.11,0.09,31%,8%,1/12,35,63,50,25,8,7
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Shyy,Leviatán,killjoy,56,0.88,176.0,0.88,70%,138.4,0.63,0.23,0.16,0.07,20%,17%,1/6,28,35,40,13,9,4
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Shyy,Leviatán,skye,19,0.65,92.0,0.36,63%,59.9,0.26,0.37,0.05,0.05,11%,,0/2,5,5,14,7,1,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Shyy,Leviatán,"skye, killjoy",75,0.8,148.0,0.74,68%,118.5,0.53,0.27,0.13,0.07,19%,13%,1/8,28,40,54,20,10,5
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,nzr,Leviatán,raze,19,1.04,303.0,1.12,79%,185.9,1.0,0.16,0.16,0.05,20%,,0/5,19,19,17,3,3,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,nzr,Leviatán,skye,38,1.06,191.0,0.86,79%,120.5,0.66,0.63,0.03,0.05,17%,,0/5,25,25,29,24,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,nzr,Leviatán,sova,18,0.68,122.0,0.58,61%,80.4,0.39,0.06,0.06,0.06,13%,,0/1,7,7,12,1,1,1
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,nzr,Leviatán,"skye, raze, sova",75,0.93,205.3,0.88,75%,127.4,0.68,0.37,0.07,0.05,18%,,0/11,25,51,58,28,5,4
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,breach,18,1.44,229.0,2.14,78%,146.7,0.83,0.67,0.11,0.0,27%,100%,1/1,15,15,7,12,2,0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,skye,15,1.32,147.0,1.8,87%,94.8,0.6,0.47,0.07,0.0,26%,100%,1/1,9,9,5,7,1,0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,"skye, breach",33,1.38,188.0,2.0,82%,123.1,0.73,0.58,0.09,0.0,26%,100%,2/2,15,24,12,19,3,0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,brimstone,18,1.48,247.0,1.88,83%,149.2,0.83,0.78,0.17,0.06,36%,,0/1,15,15,8,14,3,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,jett,15,1.39,259.0,2.0,87%,185.9,0.93,0.33,0.27,0.13,38%,,0/1,14,14,7,5,4,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,"brimstone, jett",33,1.44,253.0,1.93,85%,165.8,0.88,0.58,0.21,0.09,37%,,0/2,15,29,15,19,7,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Boostio,Evil Geniuses,killjoy,18,1.03,220.0,1.15,72%,130.0,0.83,0.06,0.11,0.11,18%,,0/2,15,15,13,1,2,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,jawgemo,Evil Geniuses,raze,33,1.56,290.5,2.12,85%,172.2,1.09,0.24,0.24,0.12,18%,,,20,36,17,8,8,4
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,C0M,Evil Geniuses,sova,18,1.08,156.0,1.13,78%,108.8,0.5,0.39,0.0,0.11,15%,,0/2,9,9,8,7,0,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,C0M,Evil Geniuses,viper,15,1.47,223.0,1.86,93%,149.1,0.87,0.27,0.07,0.0,41%,,0/1,13,13,7,4,1,0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,C0M,Evil Geniuses,"viper, sova",33,1.27,189.5,1.47,85%,127.1,0.67,0.33,0.03,0.06,27%,,0/3,13,22,15,11,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,runi,Cloud9,breach,18,0.53,125.0,0.41,56%,88.1,0.39,0.28,0.0,0.06,44%,,0/4,7,7,17,5,0,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,runi,Cloud9,viper,15,0.47,153.0,0.4,47%,116.9,0.4,0.27,0.0,0.07,30%,,0/4,6,6,15,4,0,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,runi,Cloud9,"viper, breach",33,0.5,139.0,0.41,52%,101.2,0.39,0.27,0.0,0.06,37%,,0/8,7,13,32,9,0,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,jakee,Cloud9,brimstone,33,0.59,127.5,0.45,48%,86.3,0.39,0.42,0.03,0.09,27%,20%,1/5,10,13,29,14,1,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,leaf,Cloud9,jett,15,0.24,116.0,0.33,53%,69.5,0.33,0.0,0.0,0.33,16%,,0/2,5,5,15,0,0,5
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,leaf,Cloud9,skye,18,0.77,168.0,0.67,61%,108.8,0.56,0.39,0.11,0.17,20%,,0/2,10,10,15,7,2,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,leaf,Cloud9,"skye, jett",33,0.51,142.0,0.5,58%,90.9,0.45,0.21,0.06,0.24,19%,,0/4,10,15,30,7,2,8
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Zellsis,Cloud9,killjoy,18,0.79,127.0,0.69,56%,73.4,0.5,0.11,0.06,0.0,17%,33%,1/3,9,9,13,2,1,0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Zellsis,Cloud9,raze,15,0.5,156.0,0.5,60%,104.5,0.47,0.2,0.07,0.2,14%,,0/2,7,7,14,3,1,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Zellsis,Cloud9,"killjoy, raze",33,0.65,141.5,0.59,58%,87.5,0.48,0.15,0.06,0.09,15%,20%,1/5,9,16,27,5,2,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Xeppaa,Cloud9,raze,18,0.88,222.0,0.73,61%,152.4,0.61,0.33,0.28,0.22,21%,,0/1,11,11,15,6,5,4
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Xeppaa,Cloud9,skye,15,0.71,197.0,0.64,60%,133.9,0.6,0.33,0.07,0.13,37%,,0/4,9,9,14,5,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Xeppaa,Cloud9,"skye, raze",33,0.79,209.5,0.69,61%,144.0,0.61,0.33,0.18,0.18,28%,,0/5,11,20,29,11,6,6
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,tuyz,LOUD,harbor,17,0.92,155.0,1.11,88%,110.9,0.59,0.24,0.12,0.12,43%,,,10,10,9,4,2,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,tuyz,LOUD,omen,18,1.13,194.0,1.2,78%,135.4,0.67,0.39,0.06,0.22,41%,,0/1,12,12,10,7,1,4
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,tuyz,LOUD,"harbor, omen",35,1.02,174.5,1.16,83%,123.5,0.63,0.31,0.09,0.17,42%,,0/1,12,22,19,11,3,6
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,aspas,LOUD,jett,35,1.14,191.5,1.44,83%,130.8,0.74,0.26,0.06,0.09,24%,25%,1/4,17,26,18,9,2,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,saadhak,LOUD,kayo,18,1.31,201.0,1.0,89%,121.8,0.61,0.94,0.22,0.06,23%,,0/1,11,11,11,17,4,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,saadhak,LOUD,viper,17,1.33,239.0,2.33,94%,148.9,0.82,0.24,0.12,0.0,13%,,0/1,14,14,6,4,2,0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,saadhak,LOUD,"viper, kayo",35,1.32,220.0,1.47,91%,135.0,0.71,0.6,0.17,0.03,18%,,0/2,14,25,17,21,6,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Less,LOUD,killjoy,35,1.55,283.5,2.5,89%,194.7,1.14,0.09,0.09,0.06,38%,33%,1/3,21,40,16,3,3,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,cauanzin,LOUD,skye,17,1.55,291.0,1.7,88%,189.2,1.0,0.53,0.29,0.12,43%,,0/1,17,17,10,9,5,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,cauanzin,LOUD,sova,18,1.15,189.0,1.3,89%,115.6,0.72,0.44,0.06,0.06,9%,100%,1/1,13,13,10,8,1,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,cauanzin,LOUD,"skye, sova",35,1.35,240.0,1.5,89%,151.3,0.86,0.49,0.17,0.09,24%,50%,1/2,17,30,20,17,6,3
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,mazin,FURIA,harbor,17,0.87,166.0,0.67,59%,111.3,0.59,0.35,0.06,0.12,21%,33%,1/3,10,10,15,6,1,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,mazin,FURIA,kayo,18,1.06,161.0,1.0,67%,91.3,0.61,0.22,0.11,0.11,20%,20%,1/5,11,11,11,4,2,2
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,mazin,FURIA,"harbor, kayo",35,0.96,163.5,0.81,63%,101.0,0.6,0.29,0.09,0.11,20%,25%,2/8,11,21,26,10,3,4
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,dgzin,FURIA,jett,35,0.45,115.5,0.43,54%,80.1,0.37,0.14,0.14,0.23,19%,,0/5,8,13,30,5,5,8
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Quick,FURIA,killjoy,18,0.97,246.0,0.94,61%,155.2,0.83,0.17,0.11,0.06,36%,,0/2,15,15,16,3,2,1
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Quick,FURIA,viper,17,0.77,186.0,0.71,47%,123.8,0.59,0.06,0.06,0.12,25%,,0/2,10,10,14,1,1,2
